Name,Season,Pitch,Pitches,LD%,GB%,FB%,IFFB%,HR/FB,Strikes,Balls,Pitches,xMov,zMov,Mov,NameASCII,PlayerId,MLBAMID
"Tsung-Che Cheng",2025,"FA,FC,FS,SI,CH,SL",21,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,15,6,21,-4.304869238095238,5.961489523809523,8.631260952380952,"Tsung-Che Cheng","28344",691907
"Dom Nuñez",2025,"SI,SL,CU",4,0,0,0,0,0,3,1,4,3.864744999999999,-1.1632938874999998,8.8038725,"Dom Nunez","15055",624513
"Steward Berroa",2025,"FA,FC,FS,CH",11,0,0,0,0,0,7,4,11,-4.541096545454545,5.4324152727272725,9.01489818181818,"Steward Berroa","22766",672642
"Jordyn Adams",2025,"FA,SL",13,0.5,0,0.5,0,0,10,3,13,0.9274476923076922,5.136346538461538,8.988906923076923,"Jordyn Adams","23788",677941
"Drew Romo",2025,"FA,CH",5,0,0,0,0,0,3,2,5,-8.388648,4.1497824,10.035472,"Drew Romo","27763",691011
"Tristan Peters",2025,"FA,FC,SI,CH,SL,CU",39,0.4,0.2,0.4,1,0,29,10,39,-4.717618974358975,2.4533189051282056,9.179919743589744,"Tristan Peters","30063",671976
"Samad Taylor",2025,"SL,EP",5,0,0.6666666666666666,0.3333333333333333,0,0,5,0,5,3.215158,4.978498,7.450863999999998,"Samad Taylor","22274",669392
"Justin Dean",2025,"FA,FC,SI,SL",11,0,1,0,0,0,7,4,11,-4.0596927272727275,4.456190981818182,7.201606181818182,"Justin Dean","25005",681909
"Aramis Garcia",2025,"FA,FC,SI,SL,CU",9,0,0,0,0,0,7,2,9,-0.7602786666666668,2.3577661111111112,6.0300955555555555,"Aramis Garcia","16925",605244
"Kenedy Corona",2025,"FA,FC,SI",17,0,1,0,0,0,10,7,17,-4.800148823529413,8.206020588235294,10.648348823529412,"Kenedy Corona","26244",685744
"Terrin Vavra",2025,"FA,FC,SL",4,1,0,0,0,0,3,1,4,-1.4612095000000003,6.88486,7.8985525,"Terrin Vavra","24400",679631
"Dairon Blanco",2025,"FA,SL",9,0,0,1,1,0,7,2,9,-4.118775092222222,7.636326666666666,9.043521111111112,"Dairon Blanco","19779",680118
"David Bañuelos",2025,"FA",1,0,0,0,0,0,0,1,1,-5.86125,10.0656,11.6477,"David Banuelos","23250",675915
"Jack Leiter",2025,"SI,SL",3,0,0,0,0,0,3,0,3,-5.08906,5.005513333333333,8.897976666666667,"Jack Leiter","30146",683004
