Pitchers,Opp: 7/19,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_IP*,Season (total)_SV,Season (total)_K,Season (total)_ERA,Season (total)_WHIP,Season (total)_QS,
"Shane DrohanNew Player Note MIL - P W, 3-1 vs MIA",MIA,No Longer Rowdy,20,436,218,37%,76.0,1,76,3.2,1.18,4,
"Sean NewcombNo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,36,428,219,3%,55.0,3,53,2.45,1.07,0,
"Abner UribeNo new player Notes MIL - P W, 3-1 vs MIA",MIA,Rafael Devers,41,272,221,57%,40.2,6,39,2.43,1.03,0,
"John KingIL15No new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,40,417,223,2%,40.0,1,30,2.48,0.75,0,
"Walbert UreñaNo new player Notes LAA - P Bot 4, 1-1 vs DET",DET,Tm Mndlsn nd Mtchn,17,440,224,29%,81.1,0,78,2.88,1.32,6,
"George KirbyNo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,Trust The Process,18,120,225,97%,110.0,0,98,3.76,1.32,11,
"Robbie RayPlayer Note SF - P Bot 4, 2-2 @ SEA",@ SEA,Joey Spierer's Team,19,156,228,87%,106.2,0,90,3.38,1.27,7,
"Landen RouppPlayer Note SF - P Bot 4, 2-2 @ SEA",@ SEA,No Longer Rowdy,19,349,230,43%,104.0,0,106,3.98,1.27,9,
"Brent HeadrickNo new player Notes NYY - P L, 2-8; 7:20 pm","LAD,LAD",FA,48,407,231,4%,47.1,0,54,1.52,1.16,0,
"Garrett WhitlockPlayer Note BOS - P W, 6-1 vs TB",TB,FA,36,401,234,23%,35.0,2,38,2.06,0.91,0,
"Gregory SotoNew Player Note PIT - P W, 7-1 @ CLE",@ CLE,FA,41,169,236,36%,40.2,12,46,3.98,1.11,0,
"Kyle BradishNew Player Note BAL - P  W, 5-2 @ HOU",@ HOU,Tm Mndlsn nd Mtchn,19,73,237,93%,107.1,0,106,3.61,1.35,9,
"Tyler WellsPlayer Note BAL - P W, 5-2 @ HOU",@ HOU,FA,37,424,243,17%,46.2,3,48,2.89,1.03,0,
