Pitchers,Opp: 7/19,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_IP*,Season (total)_SV,Season (total)_K,Season (total)_ERA,Season (total)_WHIP,Season (total)_QS,
"Max KranickPlayer Note WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,1,1295,830,0%,0.2,0,1,67.5,7.5,0,
"Luis CurveloNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,8,1433,831,0%,8.1,0,4,7.56,1.92,0,
"Elmer RodríguezNew Player Note NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,4,1411,832,2%,17.0,0,10,4.76,1.76,0,
"Eric CerantolaNAPlayer Note SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,4,1408,834,0%,5.1,0,7,10.13,2.63,0,
"José UrquidyNANo new player Notes PIT - P W, 7-1 @ CLE",@ CLE,FA,5,1432,835,0%,6.1,1,6,8.53,2.68,0,
"Brandon EisertPlayer Note PIT - P W, 7-1 @ CLE",@ CLE,FA,28,1364,836,0%,29.1,0,34,6.44,1.36,0,
"Alex HoppeNANo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,FA,21,1430,837,0%,24.0,0,26,6.38,1.46,0,
"José ButtóIL60No new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,3,1346,838,0%,2.0,0,5,22.5,5.0,0,
"Zak KentNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,10,1436,839,0%,14.1,0,11,6.28,1.74,0,
"Wilkin RamosNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,2,1419,840,0%,2.0,0,1,22.5,4.5,0,
"Noah SchultzPlayer Note CWS - P W, 3-0 @ TOR",@ TOR,FA,11,1378,842,10%,53.0,0,47,5.6,1.36,2,
"Yunior TurPlayer Note ATH - P Top 5, 1-5 vs WSH",WSH,FA,1,1423,844,0%,2.0,0,2,27.0,4.0,0,
"Sam AldegheriNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,9,1421,846,0%,33.2,0,22,5.08,1.43,0,
"Tatsuya ImaiNo new player Notes HOU - P L, 2-5 vs BAL",BAL,Joe Byron,13,262,847,34%,52.0,0,63,6.06,1.5,4,
"Tommy KahnleNAPlayer Note BOS - P W, 6-1 vs TB",TB,FA,8,1420,849,0%,9.0,0,5,8.0,2.0,0,
"Matt KrookNew Player Note WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,8,1442,850,0%,6.1,0,7,11.37,2.21,0,
"Yariel RodriguezNA7No new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,10,1255,851,0%,9.1,0,6,7.71,2.04,0,
"Joey LucchesiNAPlayer Note LAA - P Top 5, 1-1 vs DET",DET,FA,5,1439,852,0%,3.1,0,4,13.5,3.9,0,
"Scott BarlowNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,36,1270,854,0%,33.1,2,29,6.48,1.35,0,
"Robby AhlstromNo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,18,1232,856,0%,14.1,0,8,6.91,1.67,0,
"Hunter BiggeNANo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,18,1359,857,0%,19.1,0,14,6.98,1.45,0,
"Keegan ThompsonNANo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,5,1434,858,0%,12.0,0,11,8.25,1.75,0,
"Yusei KikuchiIL60No new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,7,368,859,8%,31.0,0,33,5.81,1.58,1,
"Alek ManoahNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,3,1435,860,0%,7.1,0,5,9.82,2.18,0,
"Seth HalvorsenIL15Player Note COL - P Bot 8, 3-9 vs CIN",CIN,FA,21,1455,861,0%,19.0,0,17,4.74,1.95,0,
"Erick FeddePlayer Note CWS - P W, 3-0 @ TOR",@ TOR,FA,19,1562,864,3%,89.0,0,60,4.15,1.42,1,
"Ron MarinaccioNANew Player Note SD - P W, 19-2 @ KC",@ KC,FA,33,1370,865,0%,47.0,0,38,4.79,1.45,0,
"Keegan AkinIL60Player Note BAL - P W, 5-2 @ HOU",@ HOU,FA,24,1286,867,0%,25.1,0,17,5.68,1.5,0,
"Jared ShusterNAPlayer Note STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,5,1523,868,0%,9.0,0,4,9.0,1.89,0,
"Tyler GilbertIL15No new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,4,1377,870,0%,3.2,0,3,17.18,3.0,0,
"Jose FrancoNANo new player Notes CIN - P Bot 8, 9-3 @ COL",@ COL,FA,9,1448,871,0%,16.2,0,13,5.4,1.92,0,
"Cole HenryNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,11,1476,872,0%,13.2,0,15,7.9,1.76,0,
"Carlos EstévezIL60Player Note KC - P L, 2-19 vs SD",SD,FA,1,481,873,36%,0.1,0,0,162.0,18.0,0,
"Nick SandlinNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,8,1394,874,0%,8.2,0,6,11.42,1.62,0,
"Brandan BidoisNANo new player Notes PIT - P W, 7-1 @ CLE",@ CLE,FA,15,1451,875,0%,15.2,0,20,6.32,1.98,0,
"Roddery MuñozNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,3,1505,879,0%,4.0,0,6,15.75,3.25,0,
"Victor VodnikNo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,27,628,881,1%,29.1,4,23,5.52,1.74,0,
"Connor SeaboldIL15No new player Notes KC - P L, 2-19 vs SD",SD,FA,21,1443,882,0%,24.0,0,20,5.25,1.71,0,
"Shane BieberNew Player Note TOR - P L, 0-3 vs CWS",CWS,No Longer Rowdy,5,1285,884,39%,23.2,0,19,5.7,1.73,1,
"Jared KoenigNAPlayer Note MIL - P W, 3-1 vs MIA",MIA,FA,9,702,885,1%,7.0,0,7,9.0,2.71,0,
"Riley CornelioNo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,7,1458,887,0%,14.2,0,17,6.75,1.98,0,
"Jordan WicksNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,4,1501,888,0%,10.1,2,8,10.45,1.94,0,
"Andrew HoffmannNA7No new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,8,1460,889,0%,11.2,0,12,7.71,2.06,0,
"Carson SeymourNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,2,1484,890,0%,4.1,0,2,14.54,3.0,0,
"Matt SeelingerNAPlayer Note NYM - P W, 6-1 @ PHI",@ PHI,FA,1,1454,891,0%,2.0,0,2,31.5,4.5,0,
"Juan MejiaPlayer Note COL - P Bot 8, 3-9 vs CIN",CIN,FA,39,1344,893,0%,43.0,4,44,5.65,1.58,0,
"Jackson RutledgeNANo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,1,1544,895,0%,1.1,0,2,47.25,6.0,0,
"Hunter BarcoNA7No new player Notes PIT - P W, 7-1 @ CLE",@ CLE,FA,5,1437,896,0%,11.2,0,8,7.71,1.97,0,
"Matt GageIL15No new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,34,1259,899,0%,27.1,1,22,5.6,1.65,0,
"George KlassenNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,2,1456,900,0%,4.2,0,6,11.57,3.64,0,
"Charlie BarnesNAPlayer Note LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,4,1468,904,0%,12.0,0,4,7.5,1.92,0,
"Braxton GarrettNANo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,2,1465,905,1%,4.1,0,5,14.54,3.46,0,
"Taylor RogersNo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,41,1147,906,1%,34.0,2,30,5.56,1.62,0,
"Kyle NicolasNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,7,1466,908,0%,7.1,0,7,8.59,2.86,0,
"Colin ReaPlayer Note CHC - P W, 10-1 vs MIN",MIN,Fightin Farmers,20,674,909,10%,100.2,1,76,4.74,1.42,3,
"Kolby AllardNANo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,4,1396,910,0%,8.2,0,9,10.38,2.19,0,
"Calvin FaucherNo new player Notes MIA - P L, 1-3 @ MIL",@ MIL,FA,42,565,912,1%,41.1,1,41,5.01,1.62,0,
"Gus VarlandNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,32,1444,914,1%,31.2,6,30,6.25,1.77,0,
"Justin SternerIL15New Player Note ATH - P Top 5, 1-5 vs WSH",WSH,FA,46,1139,916,1%,42.2,1,40,6.12,1.38,0,
"Paxton SchultzNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,25,1469,917,0%,30.2,1,31,5.87,1.63,0,
"Hurston WaldrepNAPlayer Note ATL - P W, 8-5 vs TEX",TEX,Ranger danger,3,1319,919,3%,10.2,0,9,8.44,2.16,0,
"Connor PhillipsNANo new player Notes CIN - P Bot 8, 9-3 @ COL",@ COL,FA,25,1234,920,0%,27.2,1,28,5.53,1.77,0,
"Yilber DíazNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,1,1488,923,0%,0.2,0,0,94.5,12.0,0,
"Jack LeiterIL15Player Note TEX - P L, 5-8 @ ATL",@ ATL,FA,15,1416,924,15%,80.0,0,83,5.29,1.44,2,
"Aaron BummerNAPlayer Note ATL - P W, 8-5 vs TEX",TEX,FA,19,1400,925,0%,15.1,0,13,7.63,1.83,0,
"Matthew LiberatorePlayer Note STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,19,356,927,8%,93.2,0,88,5.0,1.48,4,
"Bubba ChandlerPlayer Note PIT - P  W, 7-1 @ CLE",@ CLE,Joe Byron,19,159,928,57%,94.1,0,85,4.77,1.45,2,
"Joe RossNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,8,1532,930,0%,11.2,0,7,9.26,1.89,0,
"Shane SmithNAPlayer Note CWS - P W, 3-0 @ TOR",@ TOR,FA,3,1343,933,4%,8.1,0,11,10.8,2.52,0,
"Germán MárquezPlayer Note SD - P W, 19-2 @ KC",@ KC,Trust The Process,9,1654,935,3%,41.2,0,28,5.18,1.49,0,
"Randy VásquezNew Player Note SD - P W, 19-2 @ KC",@ KC,FA,17,1470,937,12%,84.0,0,60,4.71,1.5,4,
"Brandon WilliamsonIL60No new player Notes CIN - P Bot 8, 9-3 @ COL",@ COL,FA,6,1449,938,0%,28.0,0,19,6.11,1.64,1,
"Phil MatonPlayer Note CHC - P W, 10-1 vs MIN",MIN,FA,30,1210,940,1%,26.2,0,31,6.08,1.76,0,
"Aaron NolaPlayer Note PHI - P L, 1-6 vs NYM",NYM,Rafael Devers,20,388,941,48%,103.0,0,108,5.68,1.45,6,
"Eric OrzeNAPlayer Note MIN - P L, 1-10 @ CHC",@ CHC,FA,36,1412,943,0%,41.1,1,36,5.66,1.52,0,
"Zach MaxwellNANo new player Notes CIN - P Bot 8, 9-3 @ COL",@ COL,FA,10,1490,944,0%,10.0,1,9,9.9,2.4,0,
"Andre GranilloNAPlayer Note DET - P Top 5, 1-1 @ LAA",@ LAA,FA,8,1492,945,0%,9.1,0,3,9.64,2.25,0,
"Adrian HouserNo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,18,1467,946,1%,80.0,0,55,4.95,1.4,2,
"Cionel PérezNo new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,31,1522,948,0%,36.0,0,32,5.75,1.56,0,
"Lou Trivino IIIIL15No new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,5,1485,950,0%,6.0,0,7,15.0,2.83,0,
"Jose QuintanaIL60No new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,9,1392,953,0%,41.0,0,20,5.27,1.51,1,
"Steven MatzIL15No new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,15,1253,955,4%,53.0,0,41,6.28,1.4,3,
"Cameron FosterNA7No new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,6,1491,957,0%,9.0,0,9,9.0,2.78,0,
"Lance McCullers Jr.Player Note MIL - P W, 3-1 vs MIA",MIA,FA,8,1596,959,4%,39.1,0,43,6.86,1.53,2,
"Jason AlexanderNA7No new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,4,1524,960,0%,18.1,0,14,9.33,1.58,1,
"Dennis SantanaNew Player Note PIT - P W, 7-1 @ CLE",@ CLE,FA,43,282,961,40%,40.2,2,37,6.2,1.52,0,
"Jonathan HernándezNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,12,1509,962,0%,17.2,0,15,8.15,1.75,0,
"Michael KellyNANo new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,5,1446,965,0%,5.0,0,6,16.2,3.6,0,
"Drew PomeranzNo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,30,1228,966,1%,28.0,0,17,5.79,1.68,0,
"José AlvaradoNo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,40,1240,968,1%,34.0,1,48,6.62,1.71,0,
"Tyler MahlePlayer Note SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,15,389,970,4%,78.0,0,73,5.31,1.46,2,
"Ryan JohnsonPlayer Note LAA - P Top 5, 1-1 vs DET",DET,FA,9,1541,971,2%,33.1,0,25,6.75,1.5,1,
"Luis GarcíaNANo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,15,1504,973,0%,15.0,2,6,9.0,1.93,0,
"Walker BuehlerPlayer Note SD - P W, 19-2 @ KC",@ KC,Joey Spierer's Team,19,1569,975,12%,89.0,0,81,5.36,1.44,3,
"Chris MartinIL15Player Note TEX - P L, 5-8 @ ATL",@ ATL,FA,16,1404,978,0%,14.0,0,9,9.0,1.93,0,
"Tobias MyersNAPlayer Note NYM - P W, 6-1 @ PHI",@ PHI,FA,26,1526,984,0%,46.0,1,33,6.26,1.39,0,
"Colton GordonNAPlayer Note MIL - P W, 3-1 vs MIA",MIA,FA,4,1554,986,0%,9.1,0,11,11.57,2.57,0,
"Mitchell ParkerIL60No new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,22,1606,990,0%,39.2,1,34,6.58,1.49,0,
"Austin VothNANo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,3,1514,991,0%,10.0,0,3,9.9,2.5,0,
"Lucas GiolitoIL15No new player Notes SD - P W, 19-2 @ KC",@ KC,FA,7,342,993,2%,29.2,0,18,5.16,1.85,0,
"Jack PerkinsPlayer Note ATH - P Top 5, 1-5 vs WSH",WSH,FA,24,320,994,3%,57.2,3,72,6.87,1.44,0,
"Matt StrahmNo new player Notes KC - P L, 2-19 vs SD",SD,FA,35,655,997,8%,31.1,0,25,7.18,1.5,0,
"Matt WaldronPlayer Note SD - P W, 19-2 @ KC",@ KC,FA,8,1535,998,0%,28.2,0,27,7.53,1.57,0,
"Justin TopaNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,23,1542,999,0%,19.0,2,12,8.05,2.0,0,
"Ricky VanascoNANo new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,5,1521,1000,0%,6.1,0,4,15.63,3.16,0,
"Merrill KellyPlayer Note AZ - P Bot 4, 0-5 vs STL",STL,Rafael Devers,17,376,1001,37%,98.2,0,62,5.2,1.49,7,
"Kade MorrisNANo new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,3,1530,1011,0%,10.0,0,6,11.7,2.5,0,
"Jake WoodfordNAPlayer Note CHC - P W, 10-1 vs MIN",MIN,FA,17,1584,1013,0%,25.1,1,23,7.46,1.82,0,
"Ryan WalkerNANo new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,27,1388,1014,24%,26.1,3,19,7.52,1.82,0,
"Luinder AvilaPlayer Note KC - P L, 2-19 vs SD",SD,FA,18,1385,1017,2%,56.2,0,50,5.08,1.62,0,
"Matt SvansonNo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,37,1194,1018,1%,40.2,0,40,6.42,1.6,0,
"Patrick CorbinNo new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,18,375,1019,2%,77.2,1,60,5.21,1.49,1,
"Jayden MurrayNANo new player Notes CHC - P W, 10-1 vs MIN",MIN,FA,10,1531,1024,0%,16.1,0,14,9.37,2.08,0,
"Chris RoycroftNo new player Notes TB - P L, 1-6 @ BOS",@ BOS,FA,11,1589,1026,0%,13.1,0,13,10.13,2.4,0,
"Chris BassittIL60Player Note BAL - P W, 5-2 @ HOU",@ HOU,FA,12,1471,1030,6%,56.1,0,37,5.27,1.63,2,
"Zack LittellNew Player Note WSH - P Top 5, 5-1 @ ATH",@ ATH,Cash is King,20,664,1037,7%,96.0,0,61,5.34,1.35,1,
"Brendon LittlePlayer Note TOR - P L, 0-3 vs CWS",CWS,FA,6,1500,1039,0%,4.2,0,7,27.0,3.86,0,
"Max ScherzerIL15New Player Note TOR - P L, 0-3 vs CWS",CWS,FA,6,1577,1044,3%,22.0,0,14,10.23,1.73,2,
"Jack KochanowiczIL60No new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,13,1870,1047,1%,64.0,0,47,6.19,1.58,5,
"Cristian JavierPlayer Note HOU - P L, 2-5 vs BAL",BAL,FA,6,1557,1051,3%,15.1,0,12,9.98,2.28,0,
"Jeffrey SpringsNo new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,19,1567,1055,11%,97.2,0,84,6.08,1.42,4,
"Tanner BanksIL15Player Note PHI - P L, 1-6 vs NYM",NYM,FA,28,1478,1058,0%,29.0,0,32,7.14,2.0,0,
"Luis MoralesNANo new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,3,1529,1065,0%,9.1,0,7,14.46,3.11,0,
"Ryan WeissNANo new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,9,1574,1073,0%,26.0,0,30,7.62,2.12,0,
"Tanner GordonPlayer Note COL - P Bot 8, 3-9 vs CIN",CIN,FA,12,1660,1075,0%,50.1,0,47,6.44,1.61,0,
"Bailey FalterNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,5,1591,1077,0%,9.2,0,6,13.97,3.1,0,
"Miles MikolasSUSPPlayer Note WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,20,1621,1079,1%,94.1,0,50,5.53,1.33,0,
"Justin LawrenceNo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,37,1558,1083,0%,34.1,1,43,7.34,1.95,0,
"Sean SullivanNANo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,5,1580,1084,0%,22.1,0,16,8.87,2.01,0,
"Rhett LowderNew Player Note CIN - P Bot 8, 9-3 @ COL",@ COL,FA,17,383,1087,4%,72.0,0,61,5.75,1.64,3,
"Zach AgnosNo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,26,1633,1104,0%,59.1,2,38,6.37,1.53,0,
"Trey GibsonNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,8,1578,1109,0%,33.0,0,30,7.36,1.91,0,
"Taijuan WalkerNANo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,5,1620,1112,0%,22.2,0,17,9.13,2.07,0,
"Aaron CivaleNANew Player Note CHC - P W, 10-1 vs MIN",MIN,FA,16,1561,1113,3%,74.2,0,58,5.42,1.62,1,
"Griffin CanningNew Player Note SD - P W, 19-2 @ KC",@ KC,FA,14,1605,1118,2%,59.1,0,59,6.67,1.62,1,
"Brayan BelloPlayer Note BOS - P W, 6-1 vs TB",TB,FA,13,1533,1120,4%,65.1,0,49,6.06,1.59,1,
"Grayson RodriguezNew Player Note LAA - P Top 5, 1-1 vs DET",DET,W (Jul 21),8,1556,1137,6%,35.0,0,27,8.23,1.77,0,
"Mike BurrowsIL15Player Note HOU - P L, 2-5 vs BAL",BAL,FA,18,359,1138,8%,94.2,0,75,5.99,1.55,4,
"Mitch SpenceNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,3,1668,1155,0%,9.1,0,6,21.21,3.00,0,
"Chris PaddackNAPlayer Note TEX - P L, 5-8 @ ATL",@ ATL,FA,14,1742,1181,0%,57.0,0,40,6.79,1.67,1,
"Kodai SengaNo new player Notes NYM - P W, 6-1 @ PHI",@ PHI,FA,12,400,1196,9%,40.2,0,49,8.85,1.84,1,
"Andrew PainterNANo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,14,340,1228,6%,65.0,0,53,7.06,1.66,2,
"S. Woods RichardsonNANo new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,15,1634,1229,0%,57.2,0,31,6.40,1.75,1,
"Jacob LopezPlayer Note ATH - P Top 5, 1-5 vs WSH",WSH,FA,14,1575,1276,2%,55.1,0,43,6.83,1.79,0,
"David PetersonPlayer Note CHC - P W, 10-1 vs MIN",MIN,FA,19,303,1298,10%,82.1,1,70,6.45,1.64,0,
"Zac GallenIL15Player Note AZ - P Bot 4, 0-5 vs STL",STL,Rafael Devers,19,184,1307,31%,98.0,0,61,6.34,1.56,3,
"Kyle FreelandPlayer Note COL - P Bot 8, 3-9 vs CIN",CIN,FA,17,2504,1309,2%,88.0,0,79,7.36,1.57,2,
"M. Lorenzen (Pitcher)Player Note COL - P Bot 8, 3-9 vs CIN",CIN,W (Jul 21),21,1858,1312,2%,97.0,0,73,6.22,1.77,2,
"Elvin RodríguezNANo new player Notes BAL - P W, 5-2 @ HOU",@ HOU,FA,-,1379,1934,0%,-,-,-,-,-,-,
"Alexis DíazNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,1246,1935,0%,-,-,-,-,-,-,
"Randy RodríguezIL60No new player Notes SF - P Bot 4, 2-2 @ SEA",@ SEA,FA,-,487,1936,1%,-,-,-,-,-,-,
"Steven WilsonIL60Player Note TB - P L, 1-6 @ BOS",@ BOS,FA,-,658,1937,0%,-,-,-,-,-,-,
"James McArthurIL60No new player Notes KC - P L, 2-19 vs SD",SD,FA,-,704,1938,0%,-,-,-,-,-,-,
"Ronny HenriquezIL60Player Note MIA - P L, 1-3 @ MIL",@ MIL,FA,-,457,1939,1%,-,-,-,-,-,-,
"Josh WinckowskiNA60No new player Notes TOR - P L, 0-3 vs CWS",CWS,FA,-,1177,1940,0%,-,-,-,-,-,-,
"Félix BautistaIL60No new player Notes BAL - P W, 5-2 @ HOU",@ HOU,Tm Mndlsn nd Mtchn,-,519,1941,3%,-,-,-,-,-,-,
"Spencer SchwellenbachIL60Player Note ATL - P W, 8-5 vs TEX",TEX,Joe Byron,-,454,1942,22%,-,-,-,-,-,-,
"AJ Smith-ShawverIL60New Player Note ATL - P W, 8-5 vs TEX",TEX,Joey Spierer's Team,-,710,1943,14%,-,-,-,-,-,-,
"Wikelman GonzálezNANo new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,-,638,1944,0%,-,-,-,-,-,-,
"Brandon WalterIL60No new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,-,568,1945,0%,-,-,-,-,-,-,
"David RobertsonNANo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,-,632,1946,0%,-,-,-,-,-,-,
"Tanner McDougalNANew Player Note CWS - P W, 3-0 @ TOR",@ TOR,FA,-,907,1947,0%,-,-,-,-,-,-,
"Jackson JobeIL60New Player Note DET - P Top 5, 1-1 @ LAA",@ LAA,Stealth Bomber,-,1193,1948,6%,-,-,-,-,-,-,
"Tzu-Chen ShaNANo new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,-,1007,1949,0%,-,-,-,-,-,-,
"Reese OlsonIL60No new player Notes DET - P Top 5, 1-1 @ LAA",@ LAA,FA,-,562,1950,1%,-,-,-,-,-,-,
"Frank MozzicatoNANo new player Notes KC - P L, 2-19 vs SD",SD,FA,-,791,1951,0%,-,-,-,-,-,-,
"Ben KudrnaNA60No new player Notes KC - P L, 2-19 vs SD",SD,FA,-,842,1952,0%,-,-,-,-,-,-,
"Alec MarshIL60No new player Notes KC - P L, 2-19 vs SD",SD,FA,-,713,1953,0%,-,-,-,-,-,-,
"Noah MurdockNAPlayer Note PIT - P W, 7-1 @ CLE",@ CLE,FA,-,1474,1954,0%,-,-,-,-,-,-,
"Ky BushIL60No new player Notes CWS - P W, 3-0 @ TOR",@ TOR,FA,-,1172,1955,0%,-,-,-,-,-,-,
"Maddux BrunsNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,963,1956,0%,-,-,-,-,-,-,
"Ben ShieldsNANo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,-,994,1957,0%,-,-,-,-,-,-,
"Jamie ArnoldNANo new player Notes ATH - P Top 5, 1-5 vs WSH",WSH,FA,-,1098,1958,1%,-,-,-,-,-,-,
"Seth HernandezNANo new player Notes PIT - P W, 7-1 @ CLE",@ CLE,Joe Byron,-,810,1959,4%,-,-,-,-,-,-,
"Allan WinansNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,-,1297,1960,0%,-,-,-,-,-,-,
"Kade AndersonNANo new player Notes SEA - P Bot 4, 2-2 vs SF",SF,Joe Byron,-,863,1961,16%,-,-,-,-,-,-,
"Kyson WitherspoonNANo new player Notes BOS - P W, 6-1 vs TB",TB,FA,-,952,1962,1%,-,-,-,-,-,-,
"Kruz SchoolcraftNANo new player Notes SD - P W, 19-2 @ KC",@ KC,FA,-,957,1963,0%,-,-,-,-,-,-,
"Liam DoyleNANo new player Notes STL - P Bot 4, 5-0 @ AZ",@ AZ,FA,-,1085,1964,2%,-,-,-,-,-,-,
"Tyler BremnerNANo new player Notes LAA - P Top 5, 1-1 vs DET",DET,FA,-,794,1965,1%,-,-,-,-,-,-,
"Dom HamelNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,-,1159,1966,0%,-,-,-,-,-,-,
"Hayden WesneskiIL60No new player Notes HOU - P L, 2-5 vs BAL",BAL,FA,-,669,1967,0%,-,-,-,-,-,-,
"Brock SelvidgeNANo new player Notes NYY - P L, 2-8 vs LAD; 7:20 pm vs LAD","LAD,LAD",FA,-,1097,1968,0%,-,-,-,-,-,-,
"JB MiddletonNANo new player Notes COL - P Bot 8, 3-9 vs CIN",CIN,FA,-,1012,1969,0%,-,-,-,-,-,-,
"Grant HolmanNAPlayer Note PHI - P L, 1-6 vs NYM",NYM,FA,-,1148,1970,0%,-,-,-,-,-,-,
"Patrick ForbesNANo new player Notes AZ - P Bot 4, 0-5 vs STL",STL,FA,-,921,1971,0%,-,-,-,-,-,-,
"Riley QuickNANo new player Notes MIN - P L, 1-10 @ CHC",@ CHC,FA,-,833,1972,0%,-,-,-,-,-,-,
"Aaron WatsonNANo new player Notes CIN - P Bot 8, 9-3 @ COL",@ COL,FA,-,974,1973,0%,-,-,-,-,-,-,
"Anthony SolometoNANo new player Notes PIT - P W, 7-1 @ CLE",@ CLE,FA,-,792,1974,0%,-,-,-,-,-,-,
"Zachary RootNANo new player Notes LAD - P W, 8-2 @ NYY; 7:20 pm @ NYY","@ NYY,@ NYY",FA,-,744,1975,0%,-,-,-,-,-,-,
"Matthew FisherNANo new player Notes PHI - P L, 1-6 vs NYM",NYM,FA,-,864,1976,0%,-,-,-,-,-,-,
"Landon HarmonNANo new player Notes WSH - P Top 5, 5-1 @ ATH",@ ATH,FA,-,861,1977,0%,-,-,-,-,-,-,
"AJ RussellNANo new player Notes TEX - P L, 5-8 @ ATL",@ ATL,FA,-,1124,1978,0%,-,-,-,-,-,-,
