Batters,Opp: 9/25,Highlight,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_H/AB*,Season (total)_R,Season (total)_HR,Season (total)_RBI,Season (total)_SB,Season (total)_OPS,
"Jarred KelenicNANo new player Notes NYY - OF L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,36,1888,1332,0%,16/73,5,1,6,0,0.601,
Bo NaylorPlayer Note MIL - C 7:40 pm vs STL,STL,,FA,31,1806,1333,0%,14/91,5,3,10,0,0.489,
"Orlando ArciaNANo new player Notes CIN - 1B,2B,3B,SS Bot 1, 0-2 @ TOR",@ TOR,,FA,19,1849,1334,0%,13/48,6,1,2,0,0.654,
"Carson WilliamsNANo new player Notes TB - SS Bot 3, 2-0 @ PHI",@ PHI,,FA,16,1876,1335,1%,4/37,7,1,6,0,0.37,
Andrew McCutchenNANo new player Notes TEX - OF 8:10 pm @ MIN,@ MIN,,FA,37,1755,1336,0%,14/73,8,1,5,0,0.537,
Sebastián RiveroNANo new player Notes LAA - C 10:10 pm @ SEA,@ SEA,,FA,24,1855,1337,0%,13/53,5,0,8,0,0.569,
"Will WilsonIL60No new player Notes SEA - 2B,3B,SS 10:10 pm vs LAA",LAA,,FA,2,1918,1338,0%,1/5,1,1,2,0,1.133,
"Daz CameronNANo new player Notes TOR - OF Bot 1, 2-0 vs CIN",CIN,,FA,8,1891,1339,0%,5/24,3,1,3,0,0.575,
"Shawn RossNANo new player Notes TOR - C,1B Bot 1, 2-0 vs CIN",CIN,,FA,2,1927,1340,0%,1/5,1,1,2,0,1.0,
"Leo RivasPlayer Note SEA - 2B,3B,SS 10:10 pm vs LAA",LAA,,FA,48,1874,1341,0%,18/118,10,0,10,2,0.468,
"Will WagnerNANo new player Notes SD - 1B,3B 9:40 pm vs AZ",AZ,,FA,16,1886,1342,0%,9/35,5,0,0,0,0.708,
"Ben RossPlayer Note MIN - 2B,3B,SS,OF 8:10 pm vs TEX",TEX,,FA,9,1914,1343,0%,4/21,5,0,1,1,0.571,
Trey ManciniNANo new player Notes LAA - 1B 10:10 pm @ SEA,@ SEA,,FA,5,1904,1344,0%,4/13,1,0,4,0,0.748,
"Tanner MurrayIL60No new player Notes CWS - 2B,3B,SS,OF 7:40 pm vs COL",COL,,FA,13,1923,1345,0%,6/28,2,1,3,0,0.602,
"Kameron MisnerNANo new player Notes PHI - OF Bot 3, 0-2 vs TB",TB,,FA,18,1802,1346,0%,9/41,2,0,4,3,0.5,
"Brian NavarretoNo new player Notes MIA - C Bot 1, 0-0 vs ATL",ATL,,FA,31,1926,1347,0%,7/50,8,1,3,0,0.46,
"Gabriel Rincones Jr.NANo new player Notes PHI - OF Bot 3, 0-2 vs TB",TB,,FA,29,1936,1348,0%,14/84,7,2,7,0,0.488,
"José AzócarNANo new player Notes ATL - OF Bot 1, 0-0 @ MIA",@ MIA,,FA,11,1883,1349,0%,6/17,2,0,0,1,0.86,
"Michael StefanicNo new player Notes ATH - 2B,3B 9:40 pm vs HOU",HOU,,FA,17,1894,1350,0%,8/25,3,0,2,0,0.73,
"Nick MorabitoNo new player Notes NYM - OF Bot 2, 1-2 @ WSH",@ WSH,,FA,18,1920,1351,0%,8/41,4,0,4,1,0.527,
"LuJames GrooverNANo new player Notes AZ - 1B,3B 9:40 pm @ SD",@ SD,,FA,15,1970,1352,0%,8/48,4,1,4,0,0.53,
"DaShawn Keirsey Jr.No new player Notes ATL - OF Bot 1, 0-0 @ MIA",@ MIA,,FA,3,1890,1353,0%,1/1,3,0,0,0,2.0,
Denzel ClarkePlayer Note ATH - OF 9:40 pm vs HOU,HOU,,FA,37,1860,1354,0%,11/72,5,0,6,4,0.405,
Jihwan BaeNANo new player Notes MIL - OF 7:40 pm vs STL,STL,,FA,4,1929,1355,0%,1/2,1,0,0,1,1.167,
"Luke MaileNo new player Notes KC - C Top 1, Delay vs CLE",CLE,,FA,17,1912,1356,0%,7/41,2,1,5,0,0.537,
"Lenyn SosaNAPlayer Note TOR - 1B,2B Bot 1, 2-0 vs CIN",CIN,,FA,40,1705,1357,1%,22/113,11,1,9,0,0.49,
"Hayden SengerNANo new player Notes NYM - C Bot 2, 1-2 @ WSH",@ WSH,,FA,7,1955,1358,0%,2/15,2,1,2,0,0.466,
"Kyle FarmerNo new player Notes ATL - 1B,2B,3B,SS Bot 1, 0-0 @ MIA",@ MIA,,FA,13,1827,1359,0%,4/16,2,0,3,0,0.548,
Bo DavidsonNew Player Note SF - OF 10:15 pm vs LAD,LAD,,FA,3,1925,1360,1%,3/10,2,0,0,1,0.664,
"Eloy JiménezNANo new player Notes TOR - OF Bot 1, 2-0 vs CIN",CIN,,FA,12,1900,1361,0%,9/31,2,0,3,0,0.633,
"Scott KingeryNANo new player Notes CHC - 2B L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,8,1935,1362,0%,1/4,2,0,0,1,0.5,
"Carlos NarváezNo new player Notes BAL - C W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,94,1795,1363,1%,40/244,21,3,10,2,0.472,
Logan PorterNANo new player Notes LAA - C 10:10 pm @ SEA,@ SEA,,FA,3,1961,1364,0%,1/4,2,0,0,0,1.0,
Michael HelmanPlayer Note TEX - OF 8:10 pm @ MIN,@ MIN,,FA,15,1853,1365,0%,5/30,2,1,2,0,0.535,
Aramis GarciaNANo new player Notes AZ - C 9:40 pm @ SD,@ SD,,FA,8,1964,1366,0%,3/19,2,1,2,0,0.474,
"Jared SernaNo new player Notes MIA - 2B,SS Bot 1, 0-0 vs ATL",ATL,,FA,14,1949,1367,0%,4/20,3,0,2,0,0.527,
"J.C. EscarraNANo new player Notes NYY - C L, 2-10 vs BAL; 7:05 pm vs BAL","BAL,BAL",,FA,32,1903,1368,0%,16/85,8,0,7,0,0.51,
Gustavo CamperoIL10No new player Notes LAA - OF 10:10 pm @ SEA,@ SEA,,FA,4,1882,1369,0%,4/11,0,0,2,0,0.788,
"Carlos JorgePlayer Note CIN - OF Bot 1, 0-2 @ TOR",@ TOR,,FA,15,1983,1370,0%,5/34,3,1,1,1,0.488,
Christian MooreNew Player Note LAA - 2B 10:10 pm @ SEA,@ SEA,,FA,35,1859,1371,1%,23/125,3,1,15,1,0.493,
Gabriel GonzalezNANo new player Notes MIN - OF 8:10 pm vs TEX,TEX,,FA,7,1967,1372,0%,2/8,2,0,0,0,0.705,
"P.J. HigginsNANo new player Notes CIN - C Bot 1, 0-2 @ TOR",@ TOR,,FA,13,1937,1373,0%,6/26,1,0,4,0,0.545,
Johnathan RodríguezNANo new player Notes ATH - OF 9:40 pm vs HOU,HOU,,FA,7,1941,1374,0%,2/11,0,0,2,0,0.606,
"Oliver DunnNANo new player Notes TB - 3B Bot 3, 2-0 @ PHI",@ PHI,,FA,9,1946,1375,0%,1/11,4,0,1,0,0.258,
"Vidal BrujánNANo new player Notes NYM - 3B,SS,OF Bot 2, 1-2 @ WSH",@ WSH,,FA,9,1892,1376,0%,1/11,4,0,1,0,0.258,
"Jace JungPlayer Note DET - 3B Top 2, 0-0 vs PIT",PIT,,FA,5,1977,1377,0%,2/8,2,0,0,0,0.65,
"Christian FranklinPlayer Note BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,19,2548,1378,0%,5/40,4,0,0,2,0.461,
"George ValeraNANo new player Notes CLE - OF Top 1, Delay @ KC",@ KC,,FA,13,1899,1379,0%,8/37,1,0,6,0,0.534,
"Dylan MooreNANo new player Notes PHI - 1B,2B,3B,OF Bot 3, 0-2 vs TB",TB,,FA,13,1817,1380,0%,0/12,3,0,0,1,0.2,
Travis d'ArnaudNo new player Notes LAA - C 10:10 pm @ SEA,@ SEA,,FA,31,1924,1381,0%,12/72,7,1,3,0,0.5,
Eliézer AlfonzoNAPlayer Note LAD - C 10:15 pm @ SF,@ SF,,FA,13,1951,1382,0%,5/28,3,0,4,0,.429,
"Garrett StubbsNo new player Notes PHI - C Bot 3, 0-2 vs TB",TB,,FA,34,1940,1383,0%,9/58,11,0,3,0,.361,
"Luis VázquezNANo new player Notes BAL - 3B,SS W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,1,1962,1384,0%,0/0,1,0,0,0,-,
Jared OlivaNANo new player Notes SF - OF 10:15 pm vs LAD,LAD,,FA,7,1976,1385,0%,1/7,1,0,0,1,.286,
"Christopher MorelNo new player Notes NYM - 1B,OF Bot 2, 1-2 @ WSH",@ WSH,,FA,35,1803,1386,0%,17/94,6,1,6,1,.493,
"Corey JulksNANo new player Notes DET - OF Top 2, 0-0 vs PIT",PIT,,FA,4,1963,1387,0%,2/7,1,0,0,0,.715,
"Edwin ArroyoNANo new player Notes CIN - 2B,SS Bot 1, 0-2 @ TOR",@ TOR,,Joey Spierer's Team,50,1866,1388,1%,33/148,14,0,5,1,.530,
Vimael MachínNAPlayer Note COL - 3B 7:40 pm @ CWS,@ CWS,,FA,3,1953,1389,0%,3/6,0,0,0,0,1.000,
Nick SolakNANo new player Notes SD - 1B 9:40 pm vs AZ,AZ,,FA,4,2533,1390,0%,1/7,0,0,1,0,.443,
"Luke WilliamsNANo new player Notes ATL - 2B,SS Bot 1, 0-0 @ MIA",@ MIA,,FA,2,1957,1391,0%,0/0,0,0,0,0,-,
"Brett HarrisNo new player Notes SF - 1B,3B 10:15 pm vs LAD",LAD,,FA,18,1934,1392,0%,6/35,3,0,2,0,.522,
"Ryan MountcastleIL60No new player Notes BAL - 1B W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,8,1807,1393,0%,4/14,0,0,1,0,.690,
Joey MenesesNANo new player Notes ATH - 1B 9:40 pm vs HOU,HOU,,FA,9,2528,1394,0%,3/20,1,0,2,0,.430,
"James TriantosNANo new player Notes CHC - 2B,OF L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,7,1994,1395,0%,1/8,2,0,0,0,.347,
Jeferson QueroNANo new player Notes MIL - C 7:40 pm vs STL,STL,,FA,1,2520,1396,0%,0/1,0,0,0,0,.500,
Scott BanduraPlayer Note SF - OF 10:15 pm vs LAD,LAD,,FA,10,1979,1397,0%,4/21,2,0,0,1,.465,
"M. Lorenzen (Batter)NAPlayer Note TOR - OF Bot 1, 2-0 vs CIN",CIN,,FA,32,2185,1398,0%,-/-,-,-,-,-,-,
"Owen MillerNANo new player Notes CHC - 2B,3B,SS,OF L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,1,2516,1399,0%,0/0,0,0,0,0,-,
"Rikuu NishidaNANo new player Notes CWS - 2B,OF 7:40 pm vs COL",COL,,FA,12,1933,1400,0%,7/29,3,0,2,0,.482,
Omar MartinezNANo new player Notes LAA - C 10:10 pm @ SEA,@ SEA,,FA,5,1986,1402,0%,1/3,0,0,0,0,.666,
"Rudy Martin Jr.IL10No new player Notes TOR - OF Bot 1, 2-0 vs CIN",CIN,,FA,2,2525,1403,0%,0/2,0,0,0,0,.333,
Ryan BlissNANo new player Notes SEA - 2B 10:10 pm vs LAA,LAA,,FA,3,1989,1404,0%,1/8,0,0,1,0,.325,
"Miles MastrobuoniNANo new player Notes SEA - 2B,3B,OF 10:10 pm vs LAA",LAA,,FA,13,1868,1405,0%,5/26,3,0,1,0,.433,
"Cristian PacheNo new player Notes NYM - OF Bot 2, 1-2 @ WSH",@ WSH,,FA,14,1993,1406,0%,1/8,2,0,0,0,.250,
"Jack BranniganNANo new player Notes PIT - 3B,SS Top 2, 0-0 @ DET",@ DET,,FA,2,2521,1407,0%,0/1,0,0,0,0,.000,
"Michael SianiNANo new player Notes DET - OF Top 2, 0-0 vs PIT",PIT,,FA,1,1987,1408,0%,0/1,0,0,0,0,0.0,
"Maverick HandleyNANo new player Notes BAL - C W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,1,2549,1409,0%,0/1,0,0,0,0,0.0,
"Andy IbáñezNANo new player Notes SEA - 2B,3B 10:10 pm vs LAA",LAA,,FA,14,1865,1410,0%,2/23,1,0,5,0,0.202,
"Heston KjerstadPlayer Note BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,11,1901,1411,0%,4/19,1,0,2,0,0.474,
"Jeimer CandelarioNANo new player Notes LAA - 1B,3B 10:10 pm @ SEA",@ SEA,,FA,7,2553,1412,0%,2/18,3,0,0,0,0.422,
"Jonah BrideNANo new player Notes TEX - 1B,3B 8:10 pm @ MIN",@ MIN,,FA,2,2545,1413,0%,1/5,0,0,0,0,0.533,
"Ivan JohnsonNA7Player Note CIN - 2B Bot 1, 0-2 @ TOR",@ TOR,,FA,16,2543,1414,0%,1/16,0,0,0,2,0.274,
"Ronny MauricioPlayer Note NYM - 2B,3B,SS Bot 2, 1-2 @ WSH",@ WSH,,FA,18,1878,1415,0%,9/52,4,1,3,0,0.454,
"Dylan CarlsonNANo new player Notes CHC - OF L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,3,1909,1416,0%,0/4,1,0,0,0,0.0,
"Rece HindsNo new player Notes BAL - OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,24,2552,1417,0%,9/58,2,0,6,0,0.468,
"Eddys LeonardNANo new player Notes SF - 1B,2B,OF 10:15 pm vs LAD",LAD,,FA,3,2517,1418,0%,2/8,0,0,0,0,0.625,
"Addison BargerIL60No new player Notes TOR - 3B,OF Bot 1, 2-0 vs CIN",CIN,,FA,9,358,1419,12%,1/22,2,0,2,0,0.305,
"José BarreroPlayer Note BAL - 3B,SS W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,1,2522,1420,0%,0/2,0,0,0,0,0.0,
"Collin PriceNANo new player Notes HOU - C,1B 9:40 pm @ ATH",@ ATH,,FA,7,2529,1421,0%,2/12,1,0,0,0,0.481,
"Steward BerroaNANo new player Notes PHI - OF Bot 3, 0-2 vs TB",TB,,FA,6,2523,1422,0%,1/7,0,0,1,0,0.286,
Luken BakerNANo new player Notes AZ - 1B 9:40 pm @ SD,@ SD,,FA,3,1992,1423,0%,1/5,0,0,0,0,0.4,
"Will BanfieldNo new player Notes CIN - C Bot 1, 0-2 @ TOR",@ TOR,,FA,10,2534,1424,0%,3/17,1,0,1,0,0.402,
Reese McGuireNANo new player Notes CWS - C 7:40 pm vs COL,COL,,FA,11,1867,1425,0%,5/29,1,0,3,0,0.445,
Blake HuntNANo new player Notes SD - C 9:40 pm vs AZ,AZ,,FA,2,2537,1426,0%,0/3,0,0,0,0,0.0,
"Zack ShortNANo new player Notes NYM - SS Bot 2, 1-2 @ WSH",@ WSH,,FA,29,2538,1427,0%,7/50,4,0,2,0,0.442,
Daniel JohnsonNANo new player Notes HOU - OF 9:40 pm @ ATH,@ ATH,,FA,8,1982,1428,0%,2/14,1,0,0,0,0.437,
"Ryan RitterNANo new player Notes COL - 2B,SS 7:40 pm @ CWS",@ CWS,,FA,16,1885,1429,0%,3/19,2,0,1,0,0.358,
"Davis WendzelNANo new player Notes PIT - 1B,3B,SS Top 2, 0-0 @ DET",@ DET,,FA,2,2542,1430,0%,0/4,0,0,0,0,0.0,
Sam HaggertyNANo new player Notes TEX - OF 8:10 pm @ MIN,@ MIN,,FA,35,1838,1431,0%,7/44,3,0,1,2,0.395,
"Felix ReyesIL60No new player Notes PHI - 1B,OF Bot 3, 0-2 vs TB",TB,,FA,12,2531,1432,0%,6/38,2,1,2,0,0.421,
Nate FurmanIL10Player Note SF - 2B 10:15 pm vs LAD,LAD,,FA,22,2551,1433,0%,4/32,2,0,3,0,0.368,
"Trei CruzNANo new player Notes DET - SS,OF Top 2, 0-0 vs PIT",PIT,,FA,2,2547,1434,0%,0/5,0,0,0,0,0.0,
Aaron SabatoPlayer Note MIN - 1B 8:10 pm vs TEX,TEX,,FA,2,2546,1435,0%,0/5,0,0,0,0,0.0,
"Patrick WisdomNANo new player Notes SEA - 1B,3B 10:10 pm vs LAA",LAA,,FA,19,2559,1436,0%,5/47,3,1,4,0,0.351,
Jonathan OrnelasNANo new player Notes MIL - 2B 7:40 pm vs STL,STL,,FA,9,2524,1437,0%,4/21,1,0,1,0,0.417,
"Cooper IngleNANo new player Notes CLE - C Top 1, Delay @ KC",@ KC,,FA,7,2554,1438,0%,2/21,1,0,2,0,0.303,
Luis MatosNANo new player Notes MIL - OF 7:40 pm vs STL,STL,,FA,9,1857,1439,0%,4/20,1,0,0,0,0.438,
"Michael TogliaIL60No new player Notes CIN - 1B Bot 1, 0-2 @ TOR",@ TOR,,FA,10,1922,1440,0%,3/26,2,0,1,0,0.371,
"Kyler FedkoNA7No new player Notes PIT - OF Top 2, 0-0 @ DET",@ DET,,FA,14,2565,1441,0%,0/16,1,0,1,0,0.105,
"Matthew LugoNANo new player Notes KC - OF Top 1, Delay vs CLE",CLE,,FA,9,1968,1442,0%,2/14,0,0,0,0,0.343,
"Oswaldo CabreraPlayer Note CIN - 3B Bot 1, 0-2 @ TOR",@ TOR,,FA,5,1965,1443,0%,1/16,0,0,0,1,0.188,
"Andrew VelazquezNANo new player Notes KC - 2B,SS,OF Top 1, Delay vs CLE",CLE,,FA,6,2558,1444,0%,1/15,0,0,0,1,0.134,
César SalazarNANo new player Notes HOU - C 9:40 pm @ ATH,@ ATH,,FA,9,2566,1445,0%,1/18,0,0,1,0,0.283,
"BJ Murray Jr.NAPlayer Note CHC - 1B,3B L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,7,2555,1446,0%,1/11,0,0,0,0,0.182,
"Chad StevensNANo new player Notes COL - 2B,3B,SS 7:40 pm @ CWS",@ CWS,,FA,16,2567,1447,0%,1/28,1,0,3,0,0.212,
"Ke'Bryan HayesPlayer Note CIN - 3B Bot 1, 0-2 @ TOR",@ TOR,,FA,92,1846,1448,0%,32/227,19,5,9,1,0.419,
Buddy KennedyNANo new player Notes SEA - 3B 10:10 pm vs LAA,LAA,,FA,25,2569,1449,0%,5/43,4,0,1,0,0.364,
Tyler HeinemanNo new player Notes LAA - C 10:10 pm @ SEA,@ SEA,,FA,74,1845,1450,0%,30/174,15,1,9,1,0.44,
"Kyren ParisIL10Player Note LAA - 2B,OF 10:10 pm @ SEA",@ SEA,,FA,8,1971,1451,0%,0/15,0,0,0,0,0.167,
"Greg JonesNANo new player Notes CHC - OF L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,12,2560,1452,0%,2/23,0,0,1,1,0.174,
Ben RortvedtNANo new player Notes LAD - C 10:15 pm @ SF,@ SF,,FA,16,2556,1453,0%,5/27,0,0,1,0,0.37,
Carlos SantanaNANo new player Notes AZ - 1B 9:40 pm @ SD,@ SD,,FA,8,1826,1454,0%,2/24,1,0,0,0,0.279,
Chadwick TrompNANo new player Notes LAD - C 10:15 pm @ SF,@ SF,,FA,21,2550,1455,0%,8/49,2,0,4,0,0.344,
"Chuckie RobinsonNANo new player Notes ATL - C Bot 1, 0-0 @ MIA",@ MIA,,FA,8,2564,1456,0%,2/23,1,0,1,0,0.174,
"Deyvison De Los SantosNo new player Notes MIA - 1B,3B Bot 1, 0-0 vs ATL",ATL,,FA,15,2563,1457,0%,5/30,0,0,0,0,0.427,
Jerar EncarnacionNANo new player Notes SF - OF 10:15 pm vs LAD,LAD,,FA,17,2541,1458,0%,6/34,1,0,0,0,.406,
"Sam HuffNANo new player Notes BAL - C W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,14,2562,1459,0%,4/33,1,0,1,0,.329,
"Jhostynxon GarciaNAPlayer Note PIT - OF Top 2, 0-0 @ DET",@ DET,,FA,20,2561,1460,0%,8/48,2,0,2,0,.388,
"Otto KempNANo new player Notes PHI - 1B,3B,OF Bot 3, 0-2 vs TB",TB,,FA,13,1908,1461,0%,2/25,0,0,0,0,.228,
Will BrennanNANo new player Notes SF - OF 10:15 pm vs LAD,LAD,,FA,11,2568,1462,0%,2/23,0,0,0,0,.174,
"Jorge PolancoIL60No new player Notes NYM - 2B,3B Bot 2, 1-2 @ WSH",@ WSH,,FA,37,348,1463,14%,20/135,7,2,6,0,.431,
"Rafael MarchánNo new player Notes PHI - C Bot 3, 0-2 vs TB",TB,,FA,34,2570,1464,0%,9/91,5,2,6,0,.302,
"Cesar PrietoPlayer Note STL - 2B,3B,SS 7:40 pm @ MIL",@ MIL,,FA,15,2571,1465,0%,2/34,1,0,0,1,.145,
"Ha-Seong KimNo new player Notes ATL - 2B,SS Bot 1, 0-0 @ MIA",@ MIA,,FA,49,2544,1466,0%,14/124,8,0,9,2,.324,
"Austin WynnsNANo new player Notes CHC - C L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,34,1975,1467,0%,12/82,4,1,1,0,.378,
"Sandy LeónNANo new player Notes ATL - C Bot 1, 0-0 @ MIA",@ MIA,,FA,21,2572,1468,0%,4/44,0,0,0,0,.182,
"Deniel OrtizNANo new player Notes STL - 1B,3B 7:40 pm @ MIL",@ MIL,,FA,-,2294,1470,0%,-/-,-,-,-,-,-,
"Jhonkensy NoelNANo new player Notes BAL - 1B,OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,1939,1471,0%,-/-,-,-,-,-,-,
Maxton MartinNANo new player Notes TEX - OF 8:10 pm @ MIN,@ MIN,,FA,-,2305,1472,0%,-/-,-,-,-,-,-,
"Dillon LewisNANo new player Notes MIA - OF Bot 1, 0-0 vs ATL",ATL,,FA,-,2440,1473,0%,-/-,-,-,-,-,-,
"Jack SuwinskiNANo new player Notes TB - OF Bot 3, 2-0 @ PHI",@ PHI,,FA,-,1960,1474,0%,-/-,-,-,-,-,-,
"Dylan JassoNANo new player Notes MIA - 1B,2B,3B Bot 1, 0-0 vs ATL",ATL,,FA,-,2393,1475,0%,-/-,-,-,-,-,-,
"Cristian HernandezNANo new player Notes MIA - 2B,SS Bot 1, 0-0 vs ATL",ATL,,FA,-,2195,1476,0%,-/-,-,-,-,-,-,
"Kevin MadeNANo new player Notes WSH - 2B,SS Bot 2, 2-1 vs NYM",NYM,,FA,-,2232,1477,0%,-/-,-,-,-,-,-,
José AndersonNANo new player Notes MIL - OF 7:40 pm vs STL,STL,,FA,-,2427,1478,0%,-/-,-,-,-,-,-,
Benny MontgomeryNANo new player Notes COL - OF 7:40 pm @ CWS,@ CWS,,FA,-,2072,1479,0%,-/-,-,-,-,-,-,
"Bryan RamosNANo new player Notes BAL - 3B W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,1990,1480,0%,-/-,-,-,-,-,-,
"Izaac PachecoNANo new player Notes DET - 3B Top 2, 0-0 vs PIT",PIT,,FA,-,2201,1481,0%,-/-,-,-,-,-,-,
"Dauri FernandezNANo new player Notes CLE - 2B,SS Top 1, Delay @ KC",@ KC,,FA,-,2086,1482,0%,-/-,-,-,-,-,-,
"Roberto CamposNANo new player Notes DET - OF Top 2, 0-0 vs PIT",PIT,,FA,-,2372,1483,0%,-/-,-,-,-,-,-,
Blaine CrimNANo new player Notes COL - 1B 7:40 pm @ CWS,@ CWS,,FA,-,1911,1484,0%,-/-,-,-,-,-,-,
"Daniel VazquezNANo new player Notes KC - SS Top 1, Delay vs CLE",CLE,,FA,-,2245,1485,0%,-/-,-,-,-,-,-,
Adrian PlacenciaNANo new player Notes LAA - 2B 10:10 pm @ SEA,@ SEA,,FA,-,2216,1486,0%,-/-,-,-,-,-,-,
"Edward DuranNANo new player Notes TOR - C Bot 1, 2-0 vs CIN",CIN,,FA,-,2490,1487,0%,-/-,-,-,-,-,-,
Ethan HollidayNANo new player Notes COL - SS 7:40 pm @ CWS,@ CWS,,FA,-,2105,1488,2%,-/-,-,-,-,-,-,
"Aiva ArquetteNANo new player Notes MIA - SS Bot 1, 0-0 vs ATL",ATL,,FA,-,2047,1489,1%,-/-,-,-,-,-,-,
"Eli WillitsNANo new player Notes WSH - SS Bot 2, 2-1 vs NYM",NYM,,Tm Mndlsn nd Mtchn,-,2324,1490,3%,-/-,-,-,-,-,-,
"Jace LaVioletteNANo new player Notes CLE - OF Top 1, Delay @ KC",@ KC,,FA,-,2402,1491,0%,-/-,-,-,-,-,-,
Billy CarlsonNANo new player Notes CWS - SS 7:40 pm vs COL,COL,,FA,-,2056,1492,0%,-/-,-,-,-,-,-,
"Steele HallNANo new player Notes CIN - SS Bot 1, 0-2 @ TOR",@ TOR,,FA,-,2188,1493,0%,-/-,-,-,-,-,-,
Noah MillerNANo new player Notes LAD - SS 10:15 pm @ SF,@ SF,,FA,-,2124,1494,0%,-/-,-,-,-,-,-,
Marek HoustonNANo new player Notes MIN - SS 8:10 pm vs TEX,TEX,,FA,-,2259,1495,0%,-/-,-,-,-,-,-,
Kayson CunninghamNANo new player Notes AZ - SS 9:40 pm @ SD,@ SD,,FA,-,2465,1496,0%,-/-,-,-,-,-,-,
"JoJo ParkerNANo new player Notes TOR - SS Bot 1, 2-0 vs CIN",CIN,,FA,-,2037,1497,1%,-/-,-,-,-,-,-,
"Gavin KilenNANo new player Notes SF - 2B,SS 10:15 pm vs LAD",LAD,,FA,-,2223,1498,0%,-/-,-,-,-,-,-,
Luke StevensonNANo new player Notes SEA - C 10:10 pm vs LAA,LAA,,FA,-,2360,1499,0%,-/-,-,-,-,-,-,
"Daniel PierceNANo new player Notes TB - SS Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2502,1500,0%,-/-,-,-,-,-,-,
"Sean GambleNANo new player Notes KC - OF Top 1, Delay vs CLE",CLE,,FA,-,2015,1501,0%,-/-,-,-,-,-,-,
"Ike IrishNANo new player Notes BAL - C,1B,OF W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2166,1502,0%,-/-,-,-,-,-,-,
"Trey SweeneyIL60No new player Notes DET - SS Top 2, 0-0 vs PIT",PIT,,FA,-,1864,1503,0%,-/-,-,-,-,-,-,
Devin TaylorNANo new player Notes ATH - OF 9:40 pm vs HOU,HOU,,FA,-,2041,1504,0%,-/-,-,-,-,-,-,
"Brendan SummerhillNANo new player Notes TB - OF Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2197,1505,0%,-/-,-,-,-,-,-,
"Slater de BrunNANo new player Notes TB - OF Bot 3, 2-0 @ PHI",@ PHI,,FA,-,2211,1506,0%,-/-,-,-,-,-,-,
"Wehiwa AloyNANo new player Notes BAL - SS W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,FA,-,2356,1507,0%,-/-,-,-,-,-,-,
Xavier NeyensNANo new player Notes HOU - SS 9:40 pm @ ATH,@ ATH,,FA,-,2003,1508,0%,-/-,-,-,-,-,-,
Max BelyeuNANo new player Notes COL - OF 7:40 pm @ CWS,@ CWS,,FA,-,2153,1509,0%,-/-,-,-,-,-,-,
"Ethan ConradNANo new player Notes CHC - OF L, 3-4 @ BOS; Bot 6, 0-0 @ BOS","@ BOS,@ BOS",,FA,-,2287,1510,0%,-/-,-,-,-,-,-,
Quentin YoungNANo new player Notes MIN - SS 8:10 pm vs TEX,TEX,,FA,-,2172,1511,0%,-/-,-,-,-,-,-,
"Gavin FienNANo new player Notes WSH - SS Bot 2, 2-1 vs NYM",NYM,,FA,-,2069,1512,0%,-/-,-,-,-,-,-,
"Johan RojasIL60No new player Notes PHI - OF Bot 3, 0-2 vs TB",TB,,FA,-,1851,1513,0%,-/-,-,-,-,-,-,
"Ethan PetryNANo new player Notes WSH - OF Bot 2, 2-1 vs NYM",NYM,,FA,-,2290,1514,0%,-/-,-,-,-,-,-,
