Batters,Opp: 9/25,Highlight,Roster Status,GP*,Rankings_Pre-Season,Rankings_Current,Trends_% Ros,Season (total)_H/AB*,Season (total)_R,Season (total)_HR,Season (total)_RBI,Season (total)_SB,Season (total)_OPS,
Dominic CanzonePlayer Note SEA - OF 10:10 pm vs LAA,LAA,,Cookie Monster ,143,420,135,26%,121/465,57,22,75,2,0.807,
TJ RumfieldPlayer Note COL - 1B 7:40 pm @ CWS,@ CWS,,FA,153,265,137,42%,161/542,65,15,71,0,0.834,
Mookie BettsNew Player Note LAD - SS 10:15 pm @ SF,@ SF,,No Longer Rowdy,120,129,138,97%,122/468,70,22,68,2,0.784,
"Chase DeLauterPlayer Note CLE - OF Top 1, Delay @ KC",@ KC,,Fightin Farmers,131,247,140,59%,140/487,60,15,65,11,0.813,
"Luke KeaschallPlayer Note MIN - 2B,OF  8:10 pm vs TEX",TEX,,The Eds,149,309,141,79%,143/518,78,10,49,19,0.758,
Byron BuxtonIL10Player Note MIN - OF  8:10 pm vs TEX,TEX,,Trust The Process,93,31,142,69%,94/370,65,25,46,7,0.83,
Garrett MitchellPlayer Note MIL - OF 7:40 pm vs STL,STL,,Joey Spierer's Team,142,283,144,16%,119/453,71,11,65,14,0.772,
"Jo AdellPlayer Note CLE - OF Top 1, Delay @ KC",@ KC,,Rafael Devers,156,100,146,74%,141/592,66,22,93,4,0.689,
Geraldo PerdomoNo new player Notes AZ - SS  9:40 pm @ SD,@ SD,,Joe Byron,154,164,147,87%,144/553,72,9,54,21,0.738,
"Heriberto HernándezPlayer Note MIA - OF Bot 1, 0-0 vs ATL",ATL,,NY Bombsquad,127,443,149,20%,98/436,49,24,64,13,0.743,
"Sam AntonacciNew Player Note CWS - 2B,3B,OF 7:40 pm vs COL",COL,,The Eds,137,242,152,28%,127/469,80,8,48,19,0.755,
Joc PedersonIL10New Player Note TEX - 1B 8:10 pm @ MIN,@ MIN,,No Longer Rowdy,136,292,154,4%,88/374,56,26,53,2,0.816,
"Coby MayoPlayer Note BAL - 1B,3B W, 10-2 @ NYY; 7:05 pm @ NYY","@ NYY,@ NYY",,Stealth Bomber,130,357,157,26%,91/404,63,24,63,4,0.756,
"Jakob MarseeNew Player Note MIA - OF  Bot 1, 0-0 vs ATL",ATL,,Joe Byron,153,258,158,53%,117/509,82,11,41,23,0.703,
